Unnamed: 0,id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
2027,2028,Synset('offer.n.02'),5,noteworthy new offerings for investors included several index funds,Synset('question.n.06'),7,he was ready to pop the question,1
2037,2038,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,0
2119,2120,Synset('eunuch.n.01'),10,eunuchs guarded the harem,Synset('man.n.01'),9,there were two women and six men on the bus,0
2126,2127,Synset('ear.n.02'),11,he had a keen ear,Synset('hearing.n.06'),10,his hearing was impaired,0
2145,2146,Synset('bad_luck.n.02'),6,if I didn't have bad luck I wouldn't have any luck at all,Synset('luck.n.02'),5,bad luck caused his downfall,0
2175,2176,Synset('antagonist.n.02'),10,when bending the elbow the triceps are the antagonist,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,0
2300,2301,Synset('one.n.02'),10,he is the best one,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,0
2439,2440,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,0
2499,2500,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,0
2733,2734,Synset('bad_luck.n.02'),6,if I didn't have bad luck I wouldn't have any luck at all,Synset('luck.n.02'),5,bad luck caused his downfall,0
2787,2788,Synset('offer.n.02'),5,noteworthy new offerings for investors included several index funds,Synset('special.n.01'),6,they are having a special on pork chops,1
2859,2860,Synset('stand.n.09'),8,a one-night stand,Synset('stop.n.03'),7,they made a stopover to visit their friends,0
2881,2882,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,Synset('one.n.02'),10,he is the best one,1
2986,2987,Synset('antagonist.n.02'),10,when bending the elbow the triceps are the antagonist,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,0
3111,3112,Synset('reed.n.04'),11,the clarinetist fitted a new reed onto his mouthpiece,Synset('vibrator.n.01'),10,a reed is the vibrator that produces the sound,0
3122,3123,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,1
3228,3229,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,Synset('one.n.02'),10,he is the best one,1
3238,3239,Synset('ear.n.02'),11,he had a keen ear,Synset('hearing.n.06'),10,his hearing was impaired,0
3245,3246,Synset('ghost.n.01'),10,he looked like he had seen a ghost,Synset('apparition.n.03'),9,a ghostly apparition at midnight,0
3324,3325,Synset('agonist.n.03'),10,when bending the elbow the biceps are the agonist,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,0
3339,3340,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,Synset('one.n.02'),10,he is the best one,1
3349,3350,Synset('one.n.02'),10,he is the best one,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,0
3388,3389,Synset('question.n.06'),7,he was ready to pop the question,Synset('offer.n.02'),5,noteworthy new offerings for investors included several index funds,0
3397,3398,Synset('lap.n.04'),8,the lap of the shingles should be at least ten inches,Synset('flap.n.01'),7,he wrote on the flap of the envelope,0
3438,3439,Synset('pressure.n.05'),9,the sensitivity of his skin to pressure and temperature was normal,Synset('somesthesia.n.01'),8,he relied on somesthesia to warn him of pressure changes,0
3448,3449,Synset('opening.n.12'),10,he memorized all the important chess openings,Synset('order.n.15'),8,there were mistakes in the ordering of items on the list,0
3578,3579,Synset('cert.n.01'),6,it's a dead cert,Synset('certainty.n.02'),5,his victory is a certainty,0
3643,3644,Synset('one.n.02'),10,he is the best one,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,0
3673,3674,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,Synset('one.n.02'),10,he is the best one,1
3958,3959,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,0
4030,4031,Synset('reed.n.04'),11,the clarinetist fitted a new reed onto his mouthpiece,Synset('vibrator.n.01'),10,a reed is the vibrator that produces the sound,0
4043,4044,Synset('appro.n.01'),8,he accepted it on appro,Synset('approval.n.03'),7,he bought it on approval,0
4051,4052,Synset('flap.n.01'),7,he wrote on the flap of the envelope,Synset('lap.n.04'),8,the lap of the shingles should be at least ten inches,1
4055,4056,Synset('agonist.n.03'),10,when bending the elbow the biceps are the agonist,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,0
4158,4159,Synset('offer.n.02'),5,noteworthy new offerings for investors included several index funds,Synset('prospectus.n.01'),6,a prospectus should contain the facts that an investor needs to make an informed decision,1
4176,4177,Synset('opening.n.12'),10,he memorized all the important chess openings,Synset('order.n.15'),8,there were mistakes in the ordering of items on the list,0
4233,4234,Synset('alternation.n.01'),10,a trill is a rapid alternation between the two notes,Synset('order.n.15'),8,there were mistakes in the ordering of items on the list,0
4250,4251,Synset('lottery.n.01'),7,the election was just a lottery to them,Synset('accident.n.02'),6,winning the lottery was a happy accident,0
4265,4266,Synset('case.n.04'),7,that was not the case,Synset('fact.n.01'),6,first you must collect all the facts of the case,0
4382,4383,Synset('lockstep.n.02'),12,the prisoner's ankles were so chained together that they could only march in lockstep,Synset('walk.n.01'),10,walking is a healthy form of exercise,0
4581,4582,Synset('ear.n.02'),11,he had a keen ear,Synset('hearing.n.06'),10,his hearing was impaired,0
4687,4688,Synset('ghost.n.01'),10,he looked like he had seen a ghost,Synset('apparition.n.03'),9,a ghostly apparition at midnight,0
4740,4741,Synset('appro.n.01'),8,he accepted it on appro,Synset('approval.n.03'),7,he bought it on approval,0
4797,4798,Synset('turn.n.02'),10,he took a turn to the right,Synset('right.n.06'),11,take a right at the corner,1
4850,4851,Synset('concoction.n.02'),9,it suddenly spewed out a thick green concoction,Synset('mix.n.02'),8,a gradual mixture of cultures,0
4874,4875,Synset('bad_luck.n.02'),6,if I didn't have bad luck I wouldn't have any luck at all,Synset('luck.n.02'),5,bad luck caused his downfall,0
4896,4897,Synset('ghost.n.01'),10,he looked like he had seen a ghost,Synset('apparition.n.03'),9,a ghostly apparition at midnight,0
5045,5046,Synset('one.n.02'),10,he is the best one,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,0
5109,5110,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,Synset('agonist.n.03'),10,when bending the elbow the biceps are the agonist,1
5140,5141,Synset('one.n.02'),10,he is the best one,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,0
5159,5160,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,Synset('antagonist.n.02'),10,when bending the elbow the triceps are the antagonist,1
5194,5195,Synset('concoction.n.02'),9,it suddenly spewed out a thick green concoction,Synset('mix.n.02'),8,a gradual mixture of cultures,0
5494,5495,Synset('concoction.n.02'),9,it suddenly spewed out a thick green concoction,Synset('mix.n.02'),8,a gradual mixture of cultures,0
5609,5610,Synset('ejection.n.02'),8,the ejection of troublemakers by the police,Synset('rejection.n.01'),6,his proposals were met with rejection,0
5688,5689,Synset('ear.n.02'),11,he had a keen ear,Synset('hearing.n.06'),10,his hearing was impaired,0
5725,5726,Synset('solvent.n.01'),7,the solvent does not change its state in forming a solution,Synset('medium.n.07'),6,the dissolving medium is called a solvent,0
5780,5781,Synset('symbol.n.02'),8,the eagle is a symbol of the United States,Synset('eagle.n.04'),10,the Roman eagle,1
5941,5942,Synset('order.n.15'),8,there were mistakes in the ordering of items on the list,Synset('opening.n.12'),10,he memorized all the important chess openings,1
5947,5948,Synset('approval.n.03'),7,he bought it on approval,Synset('appro.n.01'),8,he accepted it on appro,1
5955,5956,Synset('concoction.n.02'),9,it suddenly spewed out a thick green concoction,Synset('mix.n.02'),8,a gradual mixture of cultures,0
5960,5961,Synset('appro.n.01'),8,he accepted it on appro,Synset('approval.n.03'),7,he bought it on approval,0
6022,6023,Synset('chromosome.n.01'),7,humans have 22 chromosome pairs plus two sex chromosomes,Synset('sex_chromosome.n.01'),8,mammals normally have two sex chromosomes,1
6027,6028,Synset('prison_term.n.01'),7,he served a prison term of 15 months,Synset('term.n.02'),6,a prison term,0
6035,6036,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,1
6094,6095,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,1
6198,6199,Synset('hearing.n.06'),10,his hearing was impaired,Synset('ear.n.02'),11,he had a keen ear,1
6225,6226,Synset('fire.n.04'),11,they sat by the fire and talked,Synset('fireplace.n.01'),10,the fireplace was so large you could walk inside it,0
6260,6261,Synset('appro.n.01'),8,he accepted it on appro,Synset('approval.n.03'),7,he bought it on approval,0
6455,6456,Synset('agonist.n.03'),10,when bending the elbow the biceps are the agonist,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,0
6519,6520,Synset('fireplace.n.01'),10,the fireplace was so large you could walk inside it,Synset('fire.n.04'),11,they sat by the fire and talked,1
6536,6537,Synset('case.n.04'),7,that was not the case,Synset('fact.n.01'),6,first you must collect all the facts of the case,0
6632,6633,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,0
6807,6808,Synset('mix.n.02'),8,a gradual mixture of cultures,Synset('concoction.n.02'),9,it suddenly spewed out a thick green concoction,1
6821,6822,Synset('luck.n.02'),5,bad luck caused his downfall,Synset('bad_luck.n.02'),6,if I didn't have bad luck I wouldn't have any luck at all,1
6847,6848,Synset('appro.n.01'),8,he accepted it on appro,Synset('approval.n.03'),7,he bought it on approval,0
6906,6907,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,Synset('antagonist.n.02'),10,when bending the elbow the triceps are the antagonist,1
6923,6924,Synset('luck.n.02'),5,bad luck caused his downfall,Synset('bad_luck.n.02'),6,if I didn't have bad luck I wouldn't have any luck at all,1
7026,7027,Synset('sex_chromosome.n.01'),8,mammals normally have two sex chromosomes,Synset('chromosome.n.01'),7,humans have 22 chromosome pairs plus two sex chromosomes,0
7103,7104,Synset('opening.n.12'),10,he memorized all the important chess openings,Synset('order.n.15'),8,there were mistakes in the ordering of items on the list,0
7357,7358,Synset('approval.n.03'),7,he bought it on approval,Synset('appro.n.01'),8,he accepted it on appro,1
7370,7371,Synset('leadership.n.01'),7,his leadership inspired the team,Synset('lead.n.04'),8,he takes the lead in any group,1
7437,7438,Synset('sex_chromosome.n.01'),8,mammals normally have two sex chromosomes,Synset('x_chromosome.n.01'),9,human females normally have two X chromosomes,1
7528,7529,Synset('prospectus.n.01'),6,a prospectus should contain the facts that an investor needs to make an informed decision,Synset('offer.n.02'),5,noteworthy new offerings for investors included several index funds,0
7646,7647,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,0
7655,7656,Synset('lead.n.04'),8,he takes the lead in any group,Synset('leadership.n.01'),7,his leadership inspired the team,0
7778,7779,Synset('accident.n.02'),6,winning the lottery was a happy accident,Synset('hap.n.01'),7,he recorded all the little haps and mishaps of his life,1
8004,8005,Synset('reinforce.v.01'),3,he reinforced the concrete,Synset('buttress.v.01'),4,Buttress the church,1
8006,8007,Synset('retire.v.08'),6,he retired from life when his wife died,Synset('resile.v.01'),8,The landlord cannot resile from the lease,1
8008,8009,Synset('call.v.20'),10,He deserves to be called on that,Synset('contest.v.01'),8,They contested the outcome of the race,0
8012,8013,Synset('settle.v.03'),3,We finally settled the argument,Synset('concert.v.02'),4,concert one's differences,1
8014,8015,Synset('enrich.v.01'),3,The experience enriched her understanding,Synset('choke.v.13'),4,choke a carburetor,1
8017,8018,Synset('stipulate.v.01'),6,The will stipulates that she can live in the house for the rest of her life,Synset('provide.v.03'),7,The will provides that each child should receive half of the money,1
8019,8020,Synset('hop.v.05'),5,He hopped the bush,Synset('pass.v.07'),3,The sports car passed all the trucks,0
8023,8024,Synset('bleach.v.01'),3,The sun bleached the red shirt,Synset('discolor.v.02'),2,The detergent discolored my shirts,0
8024,8025,Synset('scrub.v.01'),3,She scrubbed his back,Synset('holystone.v.01'),4,holystone the ship's deck,1
8025,8026,Synset('dynamite.v.01'),4,The rock was dynamited,Synset('explode.v.01'),3,We exploded the nuclear bomb,0
8037,8038,Synset('redden.v.02'),3,The setting sun reddened the sky,Synset('color.v.01'),2,The child colored the drawings,0
8038,8039,Synset('indulge.v.01'),1,The writer indulged in metaphorical language,Synset('wallow.v.01'),2,Wallow in luxury,1
8040,8041,Synset('teargas.v.01'),4,The students were teargassed during the riot,Synset('gas.v.01'),3,The despot gassed the rebellious tribes,0
8041,8042,Synset('excavate.v.01'),3,Schliemann excavated Troy,Synset('dig.v.04'),4,dig salt,1
8063,8064,Synset('beggar.v.01'),6,This beggars description!,Synset('elude.v.02'),4,What you are seeing in him eludes me,0
8064,8065,Synset('swamp.v.01'),4,The tsunami swamped every boat in the harbor,Synset('cover.v.02'),2,The grass covered the grave,0
8065,8066,Synset('garden.v.01'),6,My hobby is gardening,Synset('tend.v.02'),5,She tends to the children,0
8067,8068,Synset('concentrate.v.05'),5,These groups concentrate in the inner cities,Synset('converge.v.03'),4,The crowd converged on the movie star,0
8068,8069,Synset('kidnap.v.01'),3,The industrialist's son was kidnapped,Synset('shanghai.v.01'),4,The men were shanghaied after being drugged,1
8069,8070,Synset('install.v.02'),1,the new president was installed immediately after the election,Synset('ordain.v.03'),3,The minister was ordained only last month,1
8080,8081,Synset('protect.v.01'),3,Weatherbeater protects your roof from the rain,Synset('cover_for.v.01'),4,I won't lie and cover for you,1
8081,8082,Synset('anger.v.01'),3,The news angered him,Synset('madden.v.03'),4,His behavior is maddening,1
8082,8083,Synset('approach.v.05'),4,I was approached by the President to serve as his adviser in foreign matters,Synset('hit.v.17'),5,He tries to hit on women in bars,1
8095,8096,Synset('circulate.v.07'),2,She circulates among royalty,Synset('drift.v.06'),3,The unknown young man drifted among the invited guests,1
8096,8097,Synset('stamp.v.04'),4,Are the letters properly stamped?,Synset('meter.v.02'),5,meter the mail,1
8099,8100,Synset('pound.v.05'),4,The locks pound the water of the canal,Synset('partition.v.01'),3,The Arab peninsula was partitioned by the British,0
8107,8108,Synset('threaten.v.02'),6,He threatened me when I tried to call the police,Synset('offer.v.13'),7,I offered to leave the committee if they did not accept my proposal,1
8108,8109,Synset('opalesce.v.01'),3,Distant clouds opalesce like pale brocade,Synset('reflect.v.04'),2,Drive carefully--the wet road reflects,0
8111,8112,Synset('attach.v.03'),3,The spider's thread attached to the window sill,Synset('fasten.v.02'),4,This dress fastens in the back,1
8116,8117,Synset('outclass.v.01'),5,The Yankees outclassed Cincinnati,Synset('subordinate.v.01'),4,Art is sometimes subordinated to Science in these schools,0
8118,8119,Synset('burn.v.05'),1,The sun burned off the fog,Synset('char.v.01'),2,"Without a drenching rain, the forest fire will char everything",1
8120,8121,Synset('look.v.01'),1,She looked over the expanse of land,Synset('look_around.v.01'),2,look around to see whether you can find the missing document,1
8130,8131,Synset('approach.v.01'),3,We were approaching our destination,Synset('push.v.06'),4,She is pushing fifty,1
8131,8132,Synset('pockmark.v.01'),6,Her face was pockmarked by the disease,Synset('deface.v.01'),4,scars defaced her cheeks,0
8132,8133,Synset('inhale.v.01'),3,Clinton smoked marijuana but never inhaled,Synset('smoke.v.01'),2,We never smoked marijuana,0
8141,8142,Synset('amuse.v.01'),5,The play amused the ladies,Synset('socialize.v.01'),3,He never socializes with his colleagues,0
8146,8147,Synset('tease.v.02'),5,The children teased the new teacher,Synset('jeer.v.01'),6,The crowd jeered at the speaker,1
8148,8149,Synset('scrub.v.01'),3,She scrubbed his back,Synset('holystone.v.01'),4,holystone the ship's deck,1
8152,8153,Synset('reason.v.01'),2,We reasoned that it was cheaper to rent than to buy a house,Synset('overgeneralize.v.01'),4,It is dangerous to overgeneralize,1
8153,8154,Synset('distend.v.02'),6,The gas distended the animal's body,Synset('bloat.v.02'),5,Hunger bloated the child's belly,0
8160,8161,Synset('furnish.v.02'),4,We furnished the house in the Biedermeyer style,Synset('refurnish.v.01'),5,We refurnished the living room,1
8162,8163,Synset('specialize.v.01'),2,She specializes in Near Eastern history,Synset('overspecialize.v.01'),3,She overspecialized when she concentrated on verbs in Fijian,1
8164,8165,Synset('opalesce.v.02'),3,This nitrate opalesces under certain conditions,Synset('iridesce.v.01'),2,The corals iridesced under the surface of the clear water,0
8182,8183,Synset('rest.v.03'),1,He rested his bad leg,Synset('blow.v.20'),2,blow a horse,1
8184,8185,Synset('crown.v.02'),3,The speech crowned the meeting,Synset('culminate.v.01'),2,The meeting culminated in a tearful embrace,0
8186,8187,Synset('bloom.v.01'),6,The cherry tree bloomed,Synset('effloresce.v.01'),7,These manifestations effloresced in the past,1
8194,8195,Synset('transfer.v.05'),1,I transferred my stock holdings to my children,Synset('shower.v.05'),4,He showered her with presents,1
8197,8198,Synset('redouble.v.01'),4,The enemy redoubled their screaming on the radio,Synset('escalate.v.01'),3,The Allies escalated the bombing,0
8202,8203,Synset('increase.v.01'),3,The amount of work increased,Synset('effloresce.v.01'),7,These manifestations effloresced in the past,1
8207,8208,Synset('straighten.v.03'),3,The students straightened when the teacher entered,Synset('rear.v.01'),4,The horse reared in terror,1
8209,8210,Synset('hop.v.05'),5,He hopped the bush,Synset('clear.v.09'),4,the balloon cleared the tree tops,0
8210,8211,Synset('tie.v.01'),4,They tied their victim to the chair,Synset('lash.v.04'),5,lash the horse,1
8219,8220,Synset('stumble.v.02'),2,She stumbled over the tree root,Synset('founder.v.04'),3,the horses foundered,1
8225,8226,Synset('help.v.03'),5,This will help to prevent accidents,Synset('serve.v.03'),4,The scandal served to increase his popularity,0
8226,8227,Synset('pelt.v.01'),4,They pelted each other with snowballs,Synset('lapidate.v.02'),5,Pilgrims lapidate a stone pillar in commemoration of Abraham's temptation,1
8230,8231,Synset('portray.v.04'),4,The father is portrayed as a good-looking man in this painting,Synset('commend.v.02'),5,His paintings commend him to the artistic world,1
8241,8242,Synset('abdicate.v.01'),5,The King abdicated when he married a divorcee,Synset('vacate.v.01'),4,She vacated the position when she got pregnant,0
8242,8243,Synset('cicatrize.v.01'),6,the skin will cicatrize and it will heal soon,Synset('damage.v.01'),2,The snow damaged the roof,0
8252,8253,Synset('mass.v.01'),5,Crowds were massing outside the palace,Synset('press.v.06'),6,The crowds pressed along the street,1
8255,8256,Synset('calender.v.01'),5,calender paper,Synset('flatten.v.02'),3,The landscape flattened,0
8257,8258,Synset('widen.v.01'),4,The road widened,Synset('dilate.v.01'),5,His pupils were dilated,1
8261,8262,Synset('distend.v.02'),6,The gas distended the animal's body,Synset('bloat.v.02'),5,Hunger bloated the child's belly,0
8273,8274,Synset('encode.v.01'),3,encode pictures digitally,Synset('code.v.02'),4,We should encode the message for security reasons,1
8275,8276,Synset('bruise.v.01'),5,I bruised my knee,Synset('jam.v.03'),6,jam a toe,1
8276,8277,Synset('rape.v.01'),2,The woman was raped on her way home at night,Synset('gang-rape.v.01'),3,The prisoner was gang-raped,1
8277,8278,Synset('contemplate.v.02'),4,I contemplated leaving school and taking a full-time job,Synset('entertain.v.02'),5,He entertained the notion of moving to South America,1
8280,8281,Synset('steamroller.v.03'),4,steamroller the road,Synset('press.v.01'),2,He pressed down on the boards,0
8286,8287,Synset('attend.v.01'),2,She attends class regularly,Synset('immolate.v.01'),6,The Aztecs immolated human victims,1
8296,8297,Synset('privatize.v.01'),3,The oil industry was privatized,Synset('denationalize.v.01'),2,The steel industry was denationalized,0
8297,8298,Synset('dig.v.04'),4,dig salt,Synset('excavate.v.01'),3,Schliemann excavated Troy,0
8300,8301,Synset('purge.v.01'),6,Deng Xiao Ping was purged several times throughout his lifetime,Synset('torment.v.02'),4,The children tormented the stuttering teacher,0
8306,8307,Synset('partition.v.01'),3,The Arab peninsula was partitioned by the British,Synset('pound.v.05'),4,The locks pound the water of the canal,1
8314,8315,Synset('challenge.v.01'),9,She challenged his claims,Synset('contest.v.01'),8,They contested the outcome of the race,0
8319,8320,Synset('approach.v.05'),4,I was approached by the President to serve as his adviser in foreign matters,Synset('hit.v.17'),5,He tries to hit on women in bars,1
8326,8327,Synset('untie.v.01'),4,They untied the prisoner,Synset('unlash.v.01'),5,unlash the horse,1
8327,8328,Synset('overlook.v.05'),3,I am overlooking her work,Synset('survey.v.02'),2,He surveyed his new classmates,0
8335,8336,Synset('source.v.01'),3,She sourced a supply of carpet,Synset('outsource.v.01'),4,Many companies outsource and hire consultants in order to maintain a flexible workforce,1
8338,8339,Synset('die.v.01'),3,She died from cancer,Synset('suffocate.v.05'),4,The child suffocated under the pillow,1
8342,8343,Synset('discover.v.07'),1,Who discovered the North Pole?,Synset('rediscover.v.01'),2,I rediscovered the books that I enjoyed as a child,1
8345,8346,Synset('march.v.03'),3,He marched into the classroom and announced the exam,Synset('troop.v.02'),4,They children trooped into the room,1
8360,8361,Synset('outclass.v.01'),5,The Yankees outclassed Cincinnati,Synset('subordinate.v.01'),4,Art is sometimes subordinated to Science in these schools,0
8365,8366,Synset('amuse.v.02'),2,The clown amused the children,Synset('convulse.v.01'),3,The comedian convulsed the crowd,1
8370,8371,Synset('ruffle.v.08'),3,ruffle the surface of the water,Synset('disarrange.v.01'),2,My son disarranged the papers on my desk,0
8376,8377,Synset('rape.v.01'),2,The woman was raped on her way home at night,Synset('gang-rape.v.01'),3,The prisoner was gang-raped,1
8378,8379,Synset('imitate.v.01'),3,The mime imitated the passers-by,Synset('take_off.v.05'),4,This song takes off from a famous aria,1
8380,8381,Synset('co-opt.v.02'),3,We co-opted the independent minority tribes by pulling them into the Northern Alliance,Synset('neutralize.v.01'),2,The treaty neutralized the small republic,0
8381,8382,Synset('mutilate.v.03'),6,mutilated bodies,Synset('gouge.v.01'),7,gouge out his eyes,1
8386,8387,Synset('dredge.v.01'),3,dredge the chicken in flour before frying it,Synset('flour.v.01'),4,flour fish or meat before frying it,1
8389,8390,Synset('erode.v.02'),3,Rain eroded the terraces,Synset('wash.v.10'),4,The river washed a ravine into the mountainside,1
8390,8391,Synset('assent.v.01'),5,The Maestro assented to the request for an encore,Synset('agree.v.02'),4,She agreed to all my conditions,0
8393,8394,Synset('amaze.v.01'),3,Your ability to speak six languages amazes me!,Synset('dazzle.v.02'),4,Her arguments dazzled everyone,1
8400,8401,Synset('dull.v.07'),5,Middle age dulled her appetite for travel,Synset('cloud.v.08'),6,The chemical clouded the liquid to which it was added,1
8413,8414,Synset('appeal.v.04'),6,She appealed the verdict,Synset('object.v.01'),4,She never objected to the amount of work her boss charged her with,0
8414,8415,Synset('beat.v.07'),3,The sun was beating down on us,Synset('glare.v.03'),2,The sun glared down on us,0
8416,8417,Synset('imbibe.v.04'),3,Imbibe ethical principles,Synset('absorb.v.02'),2,he absorbed the knowledge or beliefs of his tribe,0
8426,8427,Synset('wrangle.v.02'),5,wrangle horses,Synset('herd.v.03'),4,Who will be herding the cattle when the cowboy dies?,0
8430,8431,Synset('scrape.v.01'),3,The cat scraped at the armchair,Synset('paw.v.01'),4,The bear pawed the door,1
8432,8433,Synset('brush.v.02'),2,He brushed the wall lightly,Synset('shave.v.06'),4,His back shaved the counter in passing,1
8434,8435,Synset('revert.v.01'),3,We reverted to the old rules,Synset('resile.v.04'),4,The rubber tubes resile,1
8438,8439,Synset('forfeit.v.01'),4,you've forfeited your right to name your successor,Synset('lapse.v.05'),5,He lapsed his membership,1
8439,8440,Synset('accuse.v.01'),2,The neighbors accused the man of spousal abuse,Synset('charge.v.02'),1,he charged the director with indifference,0
8445,8446,Synset('suffer.v.01'),4,He suffered the penalty,Synset('die.v.02'),5,Martyrs may die every day for their faith,1
8446,8447,Synset('pour.v.04'),3,Water poured all over the floor,Synset('regurgitate.v.01'),4,The blood regurgitates into the heart ventricle,1
8449,8450,Synset('hand-dye.v.01'),4,This fabric is hand-dyed,Synset('batik.v.01'),5,Indonesian fabrics are often batiked,1
8452,8453,Synset('red-eye.v.01'),4,The candidate red-eyed from California to the East Coast the night before the election to give a last stump speech,Synset('fly.v.09'),3,she is flying to Cincinnati tonight,0
8455,8456,Synset('call.v.13'),6,The ship will call in Honolulu tomorrow,Synset('stop.v.04'),5,we stopped at Aunt Mary's house,0
8456,8457,Synset('shop.v.01'),3,She goes shopping every Friday,Synset('market.v.02'),4,We go marketing every Saturday,1
8458,8459,Synset('mastermind.v.01'),3,he masterminded the robbery,Synset('choreograph.v.02'),4,The meeting between the two Presidents had been carefully choreographed,1
8464,8465,Synset('request.v.03'),8,I requested information from the secretary,Synset('seek.v.05'),9,seek directions from a local,1
8469,8470,Synset('convert.v.05'),2,The missionaries converted the Indian population,Synset('islamize.v.02'),3,The Mughals Islamized much of Northern India in the 16th century,1
8478,8479,Synset('telescope.v.01'),4,"In the accident, the cars telescoped",Synset('press.v.01'),2,He pressed down on the boards,0
